temperature,200.00 uM  VD11-31-2 5 uM CAXIII,133.33 uM  VD11-31-2 5 uM CAXIII,88.89 uM  VD11-31-2 5 uM CAXIII,59.26 uM  VD11-31-2 5 uM CAXIII,39.51 uM  VD11-31-2 5 uM CAXIII,26.34 uM  VD11-31-2 5 uM CAXIII,17.56 uM  VD11-31-2 5 uM CAXIII,11.71 uM  VD11-31-2 5 uM CAXIII,7.80 uM  VD11-31-2 5 uM CAXIII,5.20 uM  VD11-31-2 5 uM CAXIII,0 uM  VD11-31-2 5 uM CAXIII,200.00 uM  VD12-13 5 uM CAXIII,133.33 uM  VD12-13 5 uM CAXIII,88.89 uM  VD12-13 5 uM CAXIII,59.26 uM  VD12-13 5 uM CAXIII,39.51 uM  VD12-13 5 uM CAXIII,26.34 uM  VD12-13 5 uM CAXIII,17.56 uM  VD12-13 5 uM CAXIII,11.71 uM  VD12-13 5 uM CAXIII,7.80 uM  VD12-13 5 uM CAXIII,5.20 uM  VD12-13 5 uM CAXIII,0 uM  VD12-13 5 uM CAXIII,200.00 uM  VD12-22 5 uM CAXIII,133.33 uM  VD12-22 5 uM CAXIII,88.89 uM  VD12-22 5 uM CAXIII,59.26 uM  VD12-22 5 uM CAXIII,39.51 uM  VD12-22 5 uM CAXIII,26.34 uM  VD12-22 5 uM CAXIII,17.56 uM  VD12-22 5 uM CAXIII,11.71 uM  VD12-22 5 uM CAXIII,7.80 uM  VD12-22 5 uM CAXIII,5.20 uM  VD12-22 5 uM CAXIII,0 uM  VD12-22 5 uM CAXIII
42.5,27.966,24.986,26.091,26.903,24.47,23.23,24.497,25.078,27.304,24.318,30.645,28.756,23.633,24.81,26.163,26.476,25.574,24.806,26.041,27.953,26.017,30.887,27.453,26.258,27.491,27.319,29.034,26.95,26.544,27.716,29.083,26.904,33.188
43.0,27.548,24.486,25.651,26.503,24.174,22.872,24.22,24.7,26.913,23.94,30.106,28.461,23.365,24.564,25.865,26.113,25.328,24.375,25.717,27.538,25.658,30.351,27.061,25.881,27.084,26.764,28.737,26.525,26.093,27.303,28.56,26.573,32.635
43.5,27.191,24.027,25.304,26.075,23.779,22.618,23.861,24.467,26.572,23.617,29.739,28.191,23.155,24.294,25.562,25.817,24.93,23.863,25.295,27.175,25.326,29.893,26.73,25.575,26.667,26.4,28.326,26.167,25.736,26.895,28.137,26.191,31.983
44.0,26.838,23.618,24.873,25.766,23.444,22.264,23.487,24.164,26.256,23.302,29.146,27.8,22.805,23.963,25.323,25.474,24.541,23.731,24.98,26.806,25.048,29.427,26.312,25.207,26.289,26.068,27.993,25.818,25.382,26.552,27.842,25.753,31.304
44.5,26.511,23.31,24.489,25.366,23.124,21.922,23.187,23.897,25.886,23.003,28.652,27.496,22.562,23.647,25.128,25.17,24.267,23.253,24.666,26.471,24.759,28.956,26.045,24.855,25.8,25.669,27.706,25.409,25.094,26.226,27.422,25.528,30.745
45.0,26.175,22.897,24.149,25.015,22.799,21.701,22.95,23.633,25.575,22.704,28.252,27.148,22.355,23.39,24.742,24.868,23.986,23.033,24.343,26.092,24.34,28.626,25.79,24.537,25.442,25.385,27.394,25.21,24.765,25.881,27.112,25.252,29.759
45.5,25.887,22.662,23.892,24.833,22.469,21.427,22.629,23.478,25.283,22.504,27.874,26.928,22.111,23.142,24.475,24.605,23.609,22.628,24.066,25.877,24.143,28.119,25.388,24.18,25.094,24.999,26.991,24.889,24.442,25.572,26.665,24.941,29.25
46.0,25.544,22.336,23.627,24.463,22.287,21.102,22.317,23.159,25.068,22.166,27.451,26.558,21.893,22.765,24.164,24.188,23.403,22.347,23.709,25.534,23.864,27.721,25.173,23.946,24.725,24.709,26.692,24.572,24.193,25.27,26.431,24.618,28.737
46.5,25.12,21.983,23.235,24.105,22.016,20.852,22.011,22.916,24.775,21.94,27.005,26.351,21.686,22.626,24.037,24.032,23.125,22.099,23.32,25.16,23.551,27.456,24.936,23.713,24.473,24.424,26.41,24.244,23.906,24.964,26.008,24.261,28.422
47.0,24.943,21.703,23.019,23.776,21.784,20.582,21.792,22.691,24.503,21.719,26.591,26.035,21.462,22.28,23.783,23.746,22.752,21.831,23.007,25.01,23.329,27.069,24.616,23.421,24.208,24.083,26.11,23.913,23.615,24.674,25.813,24.028,28.087
