Temperature, 200uM ICPD26 10uM Hsp90aN, 100uM ICPD26 10uM Hsp90aN, 50uM ICPD26 10uM Hsp90aN, 25uM ICPD26 10uM Hsp90aN, 12.5uM ICPD26 10uM Hsp90aN, 6.25uM ICPD26 10uM Hsp90aN, 3.125uM ICPD26 10uM Hsp90aN, 1.5625uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN
34.5,15.42804491,18.52028178,19.79146003,19.07319049,19.9805154,21.03374004,18.69437269,22.88646198,19.18364233,25.46458272,45.63305867
35,15.40832556,18.57897815,19.47995346,18.89361192,19.74537779,20.68741894,18.55922135,22.51457782,18.98385813,25.35221092,45.16964763
35.5,15.32256482,18.49070322,19.43600308,18.81472613,19.66145317,20.38770631,18.45731289,22.41950866,18.83889743,25.12331197,45.11994681
36,15.31815061,18.41550317,19.34843977,18.62910404,19.43745073,19.99216704,18.20859083,22.05864551,18.63289336,25.08101954,44.41802539
36.5,15.1813396,18.33849597,19.24878661,18.4649424,19.32697541,19.68355136,18.13687343,21.74695455,18.39618143,24.87078152,44.06336854
37,15.14597798,18.36857581,19.09320719,18.38172204,19.1050075,19.24479579,17.98224867,21.62813764,18.25609725,24.72482897,43.77954235
37.5,15.08519621,18.35158966,18.97573816,18.41224008,18.98091532,19.08445869,17.91583559,21.48294217,18.13698242,24.34224079,44.08014508
38,14.94951807,18.28536278,18.91784924,18.22251469,18.88568449,18.89165005,17.80226487,21.32426511,18.04782613,24.34228166,43.70717937
38.5,14.84867158,18.1790118,18.74998093,18.10432085,18.77352677,18.78972481,17.67533888,21.04960272,17.89167268,24.07791491,43.3515933
39,14.87767351,18.19320465,18.62701501,18.05864551,18.61132001,18.69875756,17.66166389,20.99864429,17.687953,23.89155922,43.46410315
39.5,14.84716702,18.18147672,18.51420724,18.02419142,18.46484067,18.50825454,17.54611452,20.81422141,17.59436433,23.69655674,43.4102824
40,14.73970652,17.96084971,18.32870113,17.80774806,18.33136727,18.41411812,17.40850945,20.67943338,17.38460365,23.61137451,42.7785153
40.5,14.753679,18.05399786,18.3197637,17.74133778,18.26533532,18.26105839,17.33312988,20.66322249,17.3354478,23.61082955,42.74477106
41,14.68430174,18.01221896,18.21408408,17.76943618,18.20159711,18.21305116,17.37992421,20.65267923,17.27767312,23.47524224,42.74455307
41.5,14.73004247,17.96892882,18.16057577,17.68227195,18.0821444,18.9521747,17.34220536,20.59093105,17.19582775,23.5200529,42.52918288
42,14.65258477,18.03046718,18.13654645,17.6624076,18.04367602,18.88881623,17.33281273,20.63739114,17.17121209,23.39419336,42.71721564
42.5,14.72800793,17.94624465,18.04654002,17.60128176,17.89237694,18.80334055,20.86671244,20.78671157,17.19866157,23.42529828,43.05234934
43,14.62131216,17.86504485,17.90290176,17.36823488,17.80718318,18.72598905,21.05522005,20.79830116,17.19691768,23.50052135,42.81508609
43.5,14.71650498,17.81857023,17.83637242,17.44157066,17.77676051,18.61283753,21.14959123,20.92187968,17.18274859,23.49164569,43.03454995
44,14.57866026,17.71310859,17.69784957,17.25454983,17.69032905,18.52974238,21.06101066,21.19892315,17.22297539,23.51240885,42.82913165
44.5,14.52865971,17.66290473,17.65879653,17.19280948,17.64095521,18.53042903,21.30898932,21.38612955,17.3073276,23.6251367,43.39389258
45,14.42191196,17.66608772,17.49892893,17.03778788,17.55648563,18.53447994,21.44895312,21.86566974,17.41544867,23.87184965,43.66991214
45.5,14.4217711,17.56325158,17.45873706,17.03505467,17.48817426,18.65215886,21.86821291,22.43706925,17.70417116,24.03152895,44.05241474
46,14.36378682,17.55877448,17.34977717,16.87683035,17.40111929,18.55277714,22.33653773,23.20685952,18.06454566,24.46889067,45.23776826
46.5,14.24778472,17.42362315,17.23332134,16.82494967,17.36531188,18.7671664,22.84592496,24.41830848,18.72422839,25.20180056,46.20651179
47,14.15143489,17.33133579,17.14394707,16.66308667,17.29132016,19.05034387,23.87312123,26.23647124,19.47750566,26.1044304,47.80885532
47.5,14.15286019,17.35396823,17.07425862,16.56868195,17.3889466,19.34513364,25.14534218,28.67487133,20.78818717,27.82253758,50.42262404
48,14.10381221,17.22867552,16.88519766,16.4789807,17.26660054,19.79319537,27.07642227,32.2652018,22.92718903,30.3509575,54.36497037
48.5,14.05085949,17.12694416,16.84166857,16.41016251,17.3135402,20.57197857,29.89171181,36.99571657,25.95069156,34.06290532,59.62539101
49,13.98153658,17.14646118,16.79997965,16.37516066,17.29849917,21.36055979,33.2807987,42.10946441,29.68348429,38.4428755,66.46553368
49.5,13.9766101,17.11614659,16.79549641,16.34452524,17.31430315,22.21506501,36.46470261,46.54866356,32.97454287,42.23915247,72.16215254
50,13.86104117,16.99056875,16.6972434,16.30073625,17.40029864,23.08578113,38.78578876,49.89601425,35.81495893,45.60494392,76.49261845
